[DEBUG][2025-01-12 16:37:04,372][root] Prepare the browser
[DEBUG][2025-01-12 16:37:04,733][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:07,166][root] The browser has been closed
[DEBUG][2025-01-12 16:37:07,246][root] Prepare the browser
[DEBUG][2025-01-12 16:37:07,650][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:13,665][root] The browser has been closed
[DEBUG][2025-01-12 16:37:13,750][root] Prepare the browser
[DEBUG][2025-01-12 16:37:14,097][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:21,448][root] The browser has been closed
[DEBUG][2025-01-12 16:37:21,533][root] Prepare the browser
[DEBUG][2025-01-12 16:37:21,934][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:32,354][root] The browser has been closed
[DEBUG][2025-01-12 16:37:32,444][root] Prepare the browser
[DEBUG][2025-01-12 16:37:32,784][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:40,002][root] The browser has been closed
[DEBUG][2025-01-12 16:37:40,089][root] Prepare the browser
[DEBUG][2025-01-12 16:37:40,506][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:44,938][root] The browser has been closed
[DEBUG][2025-01-12 16:37:45,024][root] Prepare the browser
[DEBUG][2025-01-12 16:37:45,374][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:50,702][root] The browser has been closed
[DEBUG][2025-01-12 16:37:50,785][root] Prepare the browser
[DEBUG][2025-01-12 16:37:51,181][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:37:51,458][root] The browser has been closed
